🇨🇳 | 广东频道,#genre#
汕尾-2,http://fxhack.f3322.org:8000/udp/239.77.0.187:5146
珠海-1,http://fxhack.f3322.org:8000/udp/239.77.0.155:5146
珠海-2,http://fxhack.f3322.org:8000/udp/239.77.0.154:5146
韶关综合,http://fxhack.f3322.org:8000/udp/239.77.0.117:5146
湛江公共,http://fxhack.f3322.org:8000/udp/239.77.0.140:5146
湛江综合,http://fxhack.f3322.org:8000/udp/239.77.0.141:5146
茂名综合,http://fxhack.f3322.org:8000/udp/239.77.0.206:5146
茂名公共,http://fxhack.f3322.org:8000/udp/239.77.0.207:5146
揭阳综合,http://fxhack.f3322.org:8000/udp/239.77.0.229:5146
揭阳公共,http://fxhack.f3322.org:8000/udp/239.77.0.251:5146
云浮综合,http://fxhack.f3322.org:8000/udp/239.77.0.253:5146
云浮文旅,http://fxhack.f3322.org:8000/udp/239.77.0.254:5146
汕头综合,http://fxhack.f3322.org:8000/udp/239.253.43.45:5146
汕头经济,http://fxhack.f3322.org:8000/udp/239.253.43.46:5146
汕头体育,http://fxhack.f3322.org:8000/udp/239.253.43.47:5146
肇庆综合,http://fxhack.f3322.org:8000/udp/239.253.43.1:5146
肇庆生活服务,http://fxhack.f3322.org:8000/udp/239.253.43.2:5146
清远新闻,http://fxhack.f3322.org:8000/udp/239.253.43.33:5146
清远公共,http://fxhack.f3322.org:8000/udp/239.253.43.34:5146
河源综合,http://fxhack.f3322.org:8000/udp/239.253.43.213:5146
河源公共,http://fxhack.f3322.org:8000/udp/239.253.43.214:5146
广东经济,https://pili-live-hls-metoo.v2gogo.com/metoo-live/905db01e5c06496ba128e547bb87158b.m3u8?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1617289309-0-0-7b2730980c8860963374597c20ad3935?zguangd
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8?auth_key=1612881417-0-0-bc7ddba066481bc805fc1e800654e721?zguangd
广东生活HD,http://hls-ott-zhibo.wasu.tv/live/452/index.m3u8?zguangd
广州法制,http://ye23.win/iptv/gztv.php?id=fazhi?zguangd
广州竞赛,http://ye23.win/iptv/gztv.php?id=jingsai?zguangd
南国都市,http://ye23.win/iptv/gztv.php?id=shenghuo?zguangd
深圳娱乐,http://ye23.win/iptv/sztv.php?id=6?zguangd
深圳移动电视,http://ye23.win/iptv/sztv.php?id=8?zguangd
深圳公共,http://ye23.win/iptv/sztv.php?id=4?zguangd
深圳都市,http://ye23.win/iptv/sztv.php?id=2?zguangd
深圳电视剧,http://ye23.win/iptv/sztv.php?id=3?zguangd
深圳财经,http://ye23.win/iptv/sztv.php?id=5?zguangd
深圳少儿,http://ye23.win/iptv/sztv.php?id=7?zguangd
深圳东部,https://lglivepull.sznews.com/live/2646.m3u8?zguangd
广州新闻,http://aplay.gztv.com/sec/xinwen.m3u8?zguangd
广州新闻,http://9.zhxinda.xyz/gz.php?id=xinwen
广州新闻,https://justsometime.gztv.com/sec/xinwen.m3u8
广州新闻,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzxw
广州综合,https://aplay.gztv.com/sec/zhonghe.m3u8?zguangd
汕头综合,http://dslive.grtn.cn/stzh/sd/live.m3u8?zguangd 
汕头综合,http://dslive.grtn.cn/stzh/sd/live.m3u8?_upt=61db0df01642739502?zguangd
潮安综合,http://chaoan.chaoantv.com:8278/zongyi_1028/playlist.m3u8?zguangd
潮安综合,http://chaoan.chaoantv.com:8278/zongyi_728/playlist.m3u8?zguangd
潮安综合,http://chaoan.chaoantv.com:8278/live/chaoanzongyi.m3u8?zguangd
揭阳综合,http://dslive.grtn.cn/jyzh/sd/live.m3u8?zguangd
佛山综合,http://121.12.115.12/xmplay.fstv.com.cn/live/xingmu20211111163434G0Bw.m3u8?zguangd
佛山公共,http://121.12.115.12/xmplay.fstv.com.cn/live/xingmu20211111163347Hd5U.m3u8?zguangd
佛山影院,http://121.12.115.12/xmplay.fstv.com.cn/live/xingmu20211111163523oBdp.m3u8?zguangd
佛山顺德,http://121.12.115.12/xmplay.fstv.com.cn/live/xingmu20211111163633BJEU.m3u8?zguangd
佛山南海,http://121.12.115.12/xmplay.fstv.com.cn/live/xingmu202111111635455Do3.m3u8?zguangd
佛山高明,http://121.12.115.12/xmplay.fstv.com.cn/live/xingmu202111111637516YDa.m3u8?zguangd
佛山三水,http://121.12.115.12/xmplay.fstv.com.cn/live/xingmu20211111163722fIkX.m3u8?zguangd
珠海综合,http://dslive.grtn.cn/zhzh/sd/live.m3u8?zguangd
湛江综合,http://zjstyhls.tianma3600.com/zjsty/zhpd.m3u8?zguangd
湛江公共,http://zjstyhls.tianma3600.com/zjsty/ggpd.m3u8?zguangd
蛇口,http://218.17.99.211:82/hls/d4encs75.m3u8?zguangd
蛇口,http://218.17.99.211:5080/hls/ttsw6ccn.m3u8?zguangd
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8?zguangd
韶关新闻,http://dslive.grtn.cn/sgxwzhHD/sd/live.m3u8?zguangd
韶关公共,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8?zguangd
汕尾综合,http://dslive.grtn.cn/swzh/sd/live.m3u8?zguangd
清远综合,https://zqy-live.nanyuecloud.com/qingyuandianshi1/qingyuandianshistream1.m3u8?auth_key=601634549293-0-0-96c65af4438160da817d5e34b27b9b7a?zguangd
清远公共,https://zqy-live.nanyuecloud.com/qingyuandianshi/qingyuandianshistream.m3u8?auth_key=601634549257-0-0-73ab89e29b6bf8ef7b5144cf0c04935a?zguangd
清新综合,http://hls.wiseqx.com/live/qxzh.m3u8?zguangd
梅州综合,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv1.m3u8?zguangd 
梅州二套,http://pili-live-rtmp.tvliving.gdmztv.com/meizhou-tvliving/mztv2.m3u8?zguangd
平远综合,https://p2.weizan.cn/1033266991/615876688276112015/live.m3u8?zguangd
茂名综合,http://dslive.grtn.cn/mmzh/sd/live.m3u8 ?zguangd
惠州新闻,http://dslive.grtn.cn/hzzh/sd/live.m3u8?zguangd
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8?zguangd
河源综艺,http://tmpstream.hyrtv.cn/xwzh/playlist.m3u8?_upt=407e01941606112151?zguangd
河源公共,http://tmpstream.hyrtv.cn/hygg/playlist.m3u8?_upt=c9befc281606112199?zguangd
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8?zguangd
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_w1166501356_b928000.m3u8?zguangd
阳江1,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_b3628000.m3u8?zguangd
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_w551261166_b928000.m3u8?zguangd
阳江2,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_b3628000.m3u8?zguangd
肇庆综合,http://dslive.grtn.cn/zqzh/sd/live.m3u8?_upt=0ca3e6411630330482?zguangd
丰顺综合,https://p2.weizan.cn/1033266991/776920781637802678/live.m3u8?zguangd
江门综合,http://dslive.grtn.cn/jmzh/sd/live.m3u8?zguangd
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream_360p/playlist.m3u8?zguangd
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream_360p/playlist.m3u8?zguangd
汕尾新闻,http://dslive.grtn.cn/swzh/sd/live.m3u8?zguangd
韶关公共,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8?zguangd
五华综合,http://p2.weizan.cn/2100036413/734648609627739039/live.m3u8?zguangd
五华电视,http://p2.weizan.cn/2100036413/734648609627739039/live.m3u8?zguangd
阳江综合,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_b1152000.m3u8?zguangd
阳江公共,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_b1152000.m3u8?zguangd
云浮综合,https://pili-live-hdl-ysx.tianma3600.com/gdyf/gdyfzh.m3u8?zguangd
云浮综合,http://dslive.grtn.cn/yfzh/sd/live.m3u8?zguangd
云浮公共,https://pili-live-hdl-ysx.tianma3600.com/gdyf/gdyfgg.m3u8?zguangd
广东卫视,http://222.175.159.226:808/hls/52/index.m3u8$超清1080P
广东卫视,http://39.134.66.163/PLTV/88888888/224/3221225966/index.m3u8$超清1080P
深圳卫视,http://222.175.159.226:808/hls/49/index.m3u8$超清1080P
深圳卫视,http://39.134.66.163/PLTV/88888888/224/3221225668/index.m3u8$超清1080P
南方卫视,http://gxfrg007.8800.org:8282/tsfile/live/1080_1.m3u8$高清720P
南方卫视,http://111.20.33.70/PLTV/88888893/224/3221226218/index.m3u8$高清720P
南方卫视,http://9.zhxinda.xyz/gdtv.php?pk=1197$高清720P
广东珠江,http://9.zhxinda.xyz/gdtv.php?pk=1183$高清720P
广东珠江,http://113.119.161.118:8081/hls/50/index.m3u8$高清720P
广东体育,http://113.101.124.50:808/hls/21/index.m3u8$高清1080P
广东体育,http://113.101.124.143:808/hls/21/index.m3u8$高清1080P
广东体育,http://113.101.124.234:808/hls/21/index.m3u8$高清1080P
广东体育,http://113.101.124.246:808/hls/21/index.m3u8$高清1080P
广东经济科教,http://9.zhxinda.xyz/gdtv.php?pk=1196$高清720P
广东经济科教,http://113.101.124.50:808/hls/22/index.m3u8$高清1080P
广东经济科教,http://113.101.124.143:808/hls/22/index.m3u8$高清1080P
广东经济科教,http://113.101.124.234:808/hls/22/index.m3u8$高清1080P
广东经济科教,http://113.101.124.246:808/hls/22/index.m3u8$高清1080P
广东综艺,http://9.zhxinda.xyz/gdtv.php?pk=1198$高清720P
广东少儿,http://9.zhxinda.xyz/gdtv.php?pk=1200$高清720P
广东少儿,http://113.101.124.50:808/hls/26/index.m3u8$高清1080P
广东少儿,http://113.101.124.143:808/hls/26/index.m3u8$高清1080P
广东少儿,http://113.101.124.234:808/hls/26/index.m3u8$高清1080P
广东少儿,http://113.101.124.246:808/hls/26/index.m3u8$高清1080P
广东新闻,http://9.zhxinda.xyz/gdtv.php?pk=1186$高清720P
广东新闻,http://113.101.124.50:808/hls/20/index.m3u8$高清1080P
广东新闻,http://113.101.124.143:808/hls/20/index.m3u8$高清1080P
广东新闻,http://113.101.124.234:808/hls/20/index.m3u8$高清1080P
广东新闻,http://113.101.124.246:808/hls/20/index.m3u8$高清1080P
广东影视,http://gxfrg007.8800.org:8282/tsfile/live/1052_1.m3u8$高清720P
广东影视,http://9.zhxinda.xyz/gdtv.php?pk=1199$高清720P
广东影视,http://113.101.124.50:808/hls/25/index.m3u8$高清1080P
广东影视,http://113.101.124.143:808/hls/25/index.m3u8$高清1080P
广东影视,http://113.101.124.234:808/hls/25/index.m3u8$高清1080P
广东影视,http://113.101.124.246:808/hls/25/index.m3u8$高清1080P
广东公共,http://9.zhxinda.xyz/gdtv.php?pk=1185$高清720P
广东公共,http://120.236.17.34:808/hls/251/index.m3u8$高清1080P
广东公共,http://113.101.124.50:808/hls/18/index.m3u8$高清1080P
广东公共,http://113.101.124.143:808/hls/18/index.m3u8$高清1080P
广东公共,http://113.101.124.234:808/hls/18/index.m3u8$高清1080P
广东公共,http://113.101.124.246:808/hls/18/index.m3u8$高清1080P
广东国际,http://9.zhxinda.xyz/gdtv.php?pk=1191$高清720P
广东文化,https://glive.grtn.cn/live/wenhua_test0203.m3u8$高清720P
广州南国都市,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzngds$高清1080P
广州南国都市,http://9.zhxinda.xyz/gz.php?id=shenghuo$高清720P
广州综合,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzzh$高清1080P
广州综合,http://9.zhxinda.xyz/gz.php?id=zhonghe$高清720P
广州法治,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzfz$高清1080P
广州新闻,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzxw$高清1080P
广州新闻,http://9.zhxinda.xyz/gz.php?id=xinwen$高清720P
广州影视,http://player.521fanli.cn/1691/gd/gztvm3u8.php?id=gzys$高清1080P
广州影视,http://9.zhxinda.xyz/gz.php?id=yingshi$高清720P
增城综合,http://202.168.164.38:8083/videos/live/19/27/QEQXMtU5AUpwo/QEQXMtU5AUpwo.M3U8$高清1080P
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv$高清1080P
深圳国际,http://gxfrg007.8800.org:8282/tsfile/live/1077_1.m3u8$高清720P
深圳国际,https://sztv-live.cutv.com/sztvgjpd/500/077pz4vl.m3u8$标清576P
深圳都市,https://sztv-live.cutv.com/ZwxzUXr/500/n1ujw4z.m3u8$高清720P
深圳都市,http://ye23.win/iptv/sztv.php?id=2?$高清720P
深圳电视剧,https://sztv-live.cutv.com/4azbkoY/500/grha4bl.m3u8$高清720P
深圳电视剧,http://ye23.win/iptv/sztv.php?id=3?$高清1080P
深圳体育,http://113.101.124.50:808/hls/32/index.m3u8$高清720P
深圳体育,http://113.101.124.143:808/hls/32/index.m3u8$高清720P
深圳体育,http://113.101.124.234:808/hls/32/index.m3u8$高清720P
深圳体育,http://113.101.124.246:808/hls/32/index.m3u8$高清720P
深圳财经,https://sztv-live.cutv.com/3vlcoxP/500/3aiv4cl.m3u8$高清720P
深圳财经,http://ye23.win/iptv/sztv.php?id=5?$高清720P
深圳公共,https://sztv-live.cutv.com/2q76Sw2/500/n3keq46.m3u8$高清720P
深圳公共,http://ye23.win/iptv/sztv.php?id=4?$高清720P
深圳娱乐,https://sztv-live.cutv.com/1q4iPng/500/p2ifq40.m3u8$高清720P
深圳娱乐,http://ye23.win/iptv/sztv.php?id=6?$高清720P
深圳东部,https://lglivepull.sznews.com/live/2646.m3u8$标清576P
深圳东部,http://113.101.124.50:808/hls/102/index.m3u8$高清720P
深圳东部,http://113.101.124.143:808/hls/102/index.m3u8$高清720P
深圳东部,http://113.101.124.234:808/hls/102/index.m3u8$高清720P
深圳东部,http://113.101.124.246:808/hls/102/index.m3u8$高清720P
深圳少儿,https://sztv-live.cutv.com/1SIQj6s/500/g4rdS4Q.m3u8$高清720P
深圳移动,https://sztv-live.cutv.com/wDF6KJ3/500/423gD46.m3u8$标清576P
深圳龙岗,http://113.101.124.50:808/hls/101/index.m3u8$高清1080P
深圳龙岗,http://113.101.124.143:808/hls/101/index.m3u8$高清1080P
深圳龙岗,http://113.101.124.234:808/hls/101/index.m3u8$高清1080P
深圳龙岗,http://113.101.124.246:808/hls/101/index.m3u8$高清1080P
深圳龙岗,https://lglivepull.sznews.com/live/2647.m3u8$标清576P
深圳众创,http://113.101.124.50:808/hls/104/index.m3u8$高清1080P
深圳众创,http://113.101.124.143:808/hls/104/index.m3u8$高清1080P
深圳众创,http://113.101.124.234:808/hls/104/index.m3u8$高清1080P
深圳众创,http://113.101.124.246:808/hls/104/index.m3u8$高清1080P
深圳众创,https://lglivepull.sznews.com/live/2645.m3u8$标清576P
深圳财经,http://113.101.124.50:808/hls/105/index.m3u8$高清1080P
深圳财经,http://113.101.124.143:808/hls/105/index.m3u8$高清1080P
深圳财经,http://113.101.124.234:808/hls/105/index.m3u8$高清1080P
深圳财经,http://113.101.124.246:808/hls/105/index.m3u8$高清1080P
深圳蛇口,http://218.17.99.211:82/hls/d4encs75.m3u8$高清1080P
佛山综合,http://121.12.115.112/xmplay.fstv.com.cn/live/xingmu20211111163434G0Bw.m3u8$高清720P
佛山综合,http://121.12.115.118/xmplay.fstv.com.cn/live/xingmu20211111163434G0Bw.m3u8$高清720P
佛山影视,http://121.12.115.112/xmplay.fstv.com.cn/live/xingmu20211111163523oBdp.m3u8$高清720P
佛山影视,http://121.12.115.118/xmplay.fstv.com.cn/live/xingmu20211111163523oBdp.m3u8$高清720P
佛山顺德,http://121.12.115.112/xmplay.fstv.com.cn/live/xingmu20211111163633BJEU.m3u8$高清720P
佛山顺德,http://121.12.115.118/xmplay.fstv.com.cn/live/xingmu20211111163633BJEU.m3u8$高清720P
佛山南海,http://121.12.115.112/xmplay.fstv.com.cn/live/xingmu202111111635455Do3.m3u8$高清720P
佛山南海,http://121.12.115.118/xmplay.fstv.com.cn/live/xingmu202111111635455Do3.m3u8$高清720P
佛山高明,http://121.12.115.112/xmplay.fstv.com.cn/live/xingmu202111111637516YDa.m3u8$高清720P
佛山高明,http://121.12.115.118/xmplay.fstv.com.cn/live/xingmu202111111637516YDa.m3u8$高清720P
佛山三水,http://121.12.115.112/xmplay.fstv.com.cn/live/xingmu20211111163722fIkX.m3u8$高清720P
佛山三水,http://121.12.115.118/xmplay.fstv.com.cn/live/xingmu20211111163722fIkX.m3u8$高清720P
东莞综合,http://wtv.weetai.cn/iptv/2022/tyzb32.php?id=4$高清720P
东莞生活,http://wtv.weetai.cn/iptv/2022/tyzb32.php?id=5$高清720P
惠州综合,http://ye23.vip/z7z8/2021/0752.php?id=1$高清720P
珠海综合,http://120.196.218.201:808/hls/67/index.m3u8$高清720P
珠海公共,http://120.196.218.201:808/hls/66/index.m3u8$高清720P
梅州综合,http://p2.vzan.com:80/1454886638/403126774572750088/live.m3u8$高清720P
梅州二套,http://p2.vzan.com:80/1454886638/645350022315428296/live.m3u8$高清720P
五华综合,http://p2.weizan.cn/2100036413/734648609627739039/live.m3u8$高清720P
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8$高清720P
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8$高清720P
揭阳综合,rtmp://rtmp-stjy.sobeylive.com/stjy2020/zhpd?sign=bf98b2873ad5403290a37d16569d7a06&t=639de420$高清720P
揭阳公共,rtmp://rtmp-stjy.sobeylive.com/stjy2020/ggpd?sign=b9881a0d588081b1979769c128a5e08c&t=639de420$高清720P
湛江综合,http://113.101.124.50:808/hls/51/index.m3u8$高清1080P
湛江综合,http://113.101.124.143:808/hls/51/index.m3u8$高清1080P
湛江综合,http://113.101.124.234:808/hls/51/index.m3u8$高清1080P
湛江综合,http://113.101.124.246:808/hls/51/index.m3u8$高清1080P
湛江公共,http://113.101.124.50:808/hls/52/index.m3u8$高清1080P
湛江公共,http://113.101.124.143:808/hls/52/index.m3u8$高清1080P
湛江公共,http://113.101.124.234:808/hls/52/index.m3u8$高清1080P
湛江公共,http://113.101.124.246:808/hls/52/index.m3u8$高清1080P
汕头综合,http://27.47.68.27:808/hls/24/index.m3u8$高清720P
汕头综合,http://27.47.68.19:808/hls/24/index.m3u8$高清720P
清远综合,https://zqy-live.nanyuecloud.com/qingyuandianshi1/qingyuandianshistream1.m3u8?auth_key=601634549293-0-0-96c65af4438160da817d5e34b27b9b7a$高清720P
清远公共,https://zqy-live.nanyuecloud.com/qingyuandianshi/qingyuandianshistream.m3u8?auth_key=601634549257-0-0-73ab89e29b6bf8ef7b5144cf0c04935a$高清720P
清新综合,http://hls.wiseqx.com/live/qxzh.m3u8$高清720P
清新公共,http://hls.wiseqx.com/live/qxgg.m3u8$高清720P
阳江综合,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_b1152000.m3u8$高清720P
阳江综合,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_b3628000.m3u8$高清720P
阳江综合,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/chunklist_w1166501356_b928000.m3u8$高清720P
阳江公共,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_b1152000.m3u8$高清720P
阳江公共,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_b3628000.m3u8$高清720P
阳江公共,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/chunklist_w551261166_b928000.m3u8$高清720P
韶关综合,http://113.101.124.50:808/hls/117/index.m3u8$高清1080P
韶关综合,http://113.101.124.143:808/hls/117/index.m3u8$高清1080P
韶关综合,http://113.101.124.234:808/hls/117/index.m3u8$高清1080P
韶关综合,http://113.101.124.17:808/hls/117/index.m3u8$高清1080P
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8$高清720P
韶关公共,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8$高清720P
云浮综合,https://pili-live-hdl-ysx.tianma3600.com/gdyf/gdyfzh.m3u8$高清720P
云浮公共,https://pili-live-hdl-ysx.tianma3600.com/gdyf/gdyfgg.m3u8$高清720P
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream/playlist.m3u8$高清720P
电白综合,http://gddb.chinashadt.com:1935/live/video1.stream_360p/playlist.m3u8$高清720P
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream/playlist.m3u8$高清720P
电白视窗,http://gddb.chinashadt.com:1935/live/video2.stream_360p/playlist.m3u8$高清720P
